                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6061,                 2.9962,                 2.8237,                  0.008,                0.98947,                 0.0469,                0.00944,                 2.5675,                 3.2997,                 3.0955,                0.00014,                0.00014,                0.00014
                      2,                 2.5381,                 3.0016,                 2.6684,                0.05051,                0.16842,                0.04435,                0.01151,                  2.469,                 3.4088,                 2.5381,             0.00037925,             0.00037925,             0.00037925
                      3,                 2.5073,                 2.9093,                 2.6711,                0.08591,                0.09474,                0.05742,                0.01526,                 2.4611,                 3.2713,                 2.4946,             0.00061754,             0.00061754,             0.00061754
                      4,                 2.4369,                 2.8341,                  2.621,                0.10513,                0.15789,                0.07945,                0.01689,                 2.4916,                 3.1032,                 2.5496,             0.00085489,             0.00085489,             0.00085489
                      5,                 2.5993,                 2.9541,                 2.7045,                0.22377,                0.24211,                0.15881,                0.03357,                 2.5684,                 2.8414,                 2.5722,              0.0010913,              0.0010913,              0.0010913
                      6,                 2.5593,                 2.7563,                 2.7852,                0.26676,                0.28724,                0.13424,                0.02685,                 2.5514,                 2.7632,                 2.5544,              0.0013267,              0.0013267,              0.0013267
                      7,                 2.4719,                 2.8732,                  2.683,                 0.2206,                0.27368,                0.12113,                0.03294,                 2.4851,                 2.7973,                 2.5168,              0.0015612,              0.0015612,              0.0015612
                      8,                 2.5374,                 2.9884,                 2.7266,                  0.109,                    0.2,                0.08737,                0.02649,                 2.2774,                 2.8901,                 2.3594,              0.0017948,              0.0017948,              0.0017948
                      9,                 2.5805,                 2.9461,                 2.7669,                0.12445,                0.29474,                0.09417,                0.02667,                 2.2681,                 2.8388,                 2.3493,              0.0019683,              0.0019683,              0.0019683
                     10,                 2.5986,                 3.0159,                 2.7107,                0.13775,                0.28421,                0.11378,                0.02944,                 2.3308,                 2.7953,                 2.3951,              0.0019644,              0.0019644,              0.0019644
                     11,                  2.381,                 11.041,                 2.6035,                0.00261,                0.58947,                0.00285,                0.00077,                 3.5538,                    inf,                 4.1819,              0.0019604,              0.0019604,              0.0019604
                     12,                 2.7183,                 48.424,                 2.6224,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019564,              0.0019564,              0.0019564
                     13,                 2.5027,                 16.506,                 2.6686,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019525,              0.0019525,              0.0019525
                     14,                 2.3446,                 3.0391,                  2.604,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019485,              0.0019485,              0.0019485
                     15,                 2.1979,                 2.5591,                 2.4618,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019446,              0.0019446,              0.0019446
                     16,                 1.9842,                 2.4143,                 2.2635,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                     17,                 2.0541,                 2.4423,                 2.2746,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019366,              0.0019366,              0.0019366
                     18,                 1.9094,                 2.5225,                 2.1265,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019327,              0.0019327,              0.0019327
                     19,                 1.9458,                 2.3352,                 2.1407,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019287,              0.0019287,              0.0019287
                     20,                 1.8983,                 2.2438,                 2.1327,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019248,              0.0019248,              0.0019248
                     21,                 1.9178,                 2.2283,                 2.1152,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                     22,                 1.9218,                 2.1526,                 2.1979,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019168,              0.0019168,              0.0019168
                     23,                 1.9013,                  2.047,                 2.1278,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019129,              0.0019129,              0.0019129
                     24,                 1.8208,                 2.0944,                 2.0749,                  4e-05,                0.01053,                  2e-05,                      0,                    nan,                    nan,                    nan,              0.0019089,              0.0019089,              0.0019089
                     25,                 1.7739,                 1.9273,                 2.0382,                 0.0625,                0.01053,                0.03189,                0.01276,                    nan,                    nan,                    nan,               0.001905,               0.001905,               0.001905
                     26,                  1.865,                 1.9924,                 2.1132,                0.04762,                0.02105,                0.02401,                0.00835,                    nan,                    nan,                    nan,               0.001901,               0.001901,               0.001901
                     27,                  1.821,                 2.1264,                 2.0656,                0.06201,                0.05263,                 0.0204,                0.00721,                    nan,                    nan,                    nan,               0.001897,               0.001897,               0.001897
                     28,                 1.8336,                 1.9621,                 2.0429,                0.07233,                0.06316,                0.03123,                 0.0084,                    nan,                    nan,                    nan,              0.0018931,              0.0018931,              0.0018931
                     29,                 1.7747,                 1.9101,                 1.9984,                0.04536,                0.06316,                0.02233,                0.00777,                    nan,                    nan,                    nan,              0.0018891,              0.0018891,              0.0018891
                     30,                 1.6942,                 1.8037,                 1.9142,                 0.0499,                0.24211,                0.02845,                0.01172,                    nan,                    nan,                    nan,              0.0018852,              0.0018852,              0.0018852
                     31,                 1.6414,                 1.7329,                 1.8933,                0.05822,                0.03158,                0.02322,                0.01135,                  2.723,                    nan,                 28.758,              0.0018812,              0.0018812,              0.0018812
                     32,                 1.6015,                 1.8314,                 1.8901,                0.03509,                0.02105,                0.01982,                0.00991,                 1.7654,                 2.9662,                 4.0713,              0.0018772,              0.0018772,              0.0018772
                     33,                 1.5255,                 1.6977,                 1.8091,                0.14111,                0.04211,                0.02817,                0.01259,                 2.5685,                 3.7755,                 9.7245,              0.0018733,              0.0018733,              0.0018733
                     34,                 1.5149,                 1.7979,                 1.8356,                0.12595,                0.04211,                0.03178,                0.01625,                 2.3627,                 3.8866,                 16.387,              0.0018693,              0.0018693,              0.0018693
                     35,                 1.5037,                  1.639,                 1.8456,                0.11178,                0.08421,                0.08527,                0.04678,                 2.6946,                  4.583,                 17.309,              0.0018654,              0.0018654,              0.0018654
                     36,                 1.4631,                  1.614,                 1.8105,                0.11705,                0.04211,                0.02809,                0.01132,                 2.8858,                 4.0803,                 6.8967,              0.0018614,              0.0018614,              0.0018614
                     37,                 1.5218,                  1.717,                 1.8804,                0.06202,                0.04211,                0.03058,                0.01086,                 3.1313,                 4.0774,                  5.862,              0.0018574,              0.0018574,              0.0018574
                     38,                 1.4553,                 1.5068,                 1.8209,                0.05901,                0.06316,                0.02809,                0.01148,                 3.4185,                 4.2768,                 6.4497,              0.0018535,              0.0018535,              0.0018535
                     39,                   1.46,                 1.7275,                 1.8335,                0.07308,                0.07368,                0.04664,                0.02257,                  3.535,                 4.4181,                 6.5848,              0.0018495,              0.0018495,              0.0018495
                     40,                 1.3436,                 1.4731,                 1.7153,                0.66111,                0.27368,                0.26078,                0.09751,                 2.7051,                 2.8801,                 3.8577,              0.0018456,              0.0018456,              0.0018456
                     41,                 1.5397,                 1.6071,                 1.8614,                0.67997,                0.56842,                0.62672,                0.28987,                 1.9073,                 1.7972,                 2.6443,              0.0018416,              0.0018416,              0.0018416
                     42,                 1.4353,                 1.4637,                 1.7836,                0.58555,                0.41645,                0.39975,                0.18238,                 2.0462,                 2.3665,                 3.5968,              0.0018376,              0.0018376,              0.0018376
                     43,                 1.3935,                 1.5308,                 1.7536,                0.58063,                0.38947,                0.46017,                0.23713,                  1.949,                 2.0959,                 3.0798,              0.0018337,              0.0018337,              0.0018337
                     44,                  1.462,                 1.5476,                 1.8199,                 0.3693,                0.74737,                0.54465,                0.27288,                 1.8564,                 1.6575,                 2.2806,              0.0018297,              0.0018297,              0.0018297
                     45,                 1.5364,                 1.5557,                 1.8841,                0.35739,                0.57895,                0.42627,                0.18547,                 2.1279,                 1.7462,                 2.9922,              0.0018258,              0.0018258,              0.0018258
                     46,                 1.3144,                 1.4098,                  1.713,                0.44294,                0.35789,                0.38174,                 0.1828,                 2.1892,                 2.1543,                 3.3596,              0.0018218,              0.0018218,              0.0018218
                     47,                 1.3551,                 1.4211,                 1.7015,                0.49343,                0.36842,                0.43696,                0.20855,                 2.1503,                 2.1564,                 3.3339,              0.0018178,              0.0018178,              0.0018178
                     48,                 1.3393,                 1.4285,                 1.6961,                0.29112,                0.44211,                0.32164,                0.13719,                 2.3066,                 2.6727,                 3.6536,              0.0018139,              0.0018139,              0.0018139
                     49,                 1.4163,                  1.346,                 1.7559,                0.31785,                0.21053,                0.15027,                0.07207,                 2.0706,                 2.2439,                 2.9338,              0.0018099,              0.0018099,              0.0018099
                     50,                 1.3572,                 1.3422,                 1.7309,                0.28822,                0.16842,                0.12912,                0.06048,                 2.0231,                 2.2268,                 2.7525,               0.001806,               0.001806,               0.001806
                     51,                 1.3594,                 1.3426,                 1.7342,                0.32641,                0.26316,                0.24788,                0.10594,                 2.5198,                 3.0193,                 3.0244,               0.001802,               0.001802,               0.001802
                     52,                 1.3949,                 1.2964,                 1.7463,                0.82509,                0.16842,                0.26138,                0.13157,                 2.2768,                 3.1223,                 3.0632,               0.001798,               0.001798,               0.001798
                     53,                 1.2818,                 1.3247,                 1.6745,                0.29798,                0.64211,                0.40133,                0.24537,                 1.8765,                 2.3062,                 2.5059,              0.0017941,              0.0017941,              0.0017941
                     54,                  1.392,                 1.3259,                 1.7495,                0.69746,                0.55789,                0.66186,                0.39527,                 1.7121,                 1.5793,                 2.3016,              0.0017901,              0.0017901,              0.0017901
                     55,                 1.3754,                 1.2619,                 1.7255,                0.72717,                0.52632,                0.64309,                0.37174,                  1.812,                  1.796,                 2.4988,              0.0017862,              0.0017862,              0.0017862
                     56,                  1.361,                 1.2396,                 1.7393,                0.48501,                0.43158,                0.51455,                0.28878,                 1.8449,                 1.9732,                  2.572,              0.0017822,              0.0017822,              0.0017822
                     57,                 1.2776,                 1.2224,                  1.666,                 0.4116,                0.64211,                0.52831,                0.30671,                  1.804,                 1.8214,                 2.4044,              0.0017782,              0.0017782,              0.0017782
                     58,                 1.2192,                 1.1136,                 1.6418,                0.35171,                0.50526,                0.39004,                0.24522,                 1.8919,                 1.9412,                 2.3713,              0.0017743,              0.0017743,              0.0017743
                     59,                   1.18,                  1.184,                 1.5882,                0.36577,                0.43711,                0.35554,                0.20603,                  2.022,                 2.1506,                 2.4104,              0.0017703,              0.0017703,              0.0017703
                     60,                 1.3395,                 1.3218,                 1.7148,                 0.4443,                0.31579,                0.30827,                0.17418,                 2.1848,                 2.3046,                 2.4038,              0.0017664,              0.0017664,              0.0017664
                     61,                 1.2675,                  1.132,                 1.6528,                0.32569,                0.47368,                0.37281,                 0.2081,                 2.0001,                 2.0195,                 2.3343,              0.0017624,              0.0017624,              0.0017624
                     62,                 1.2425,                 1.1746,                  1.672,                0.32876,                0.65263,                0.43039,                0.21987,                  1.845,                 1.9687,                 2.1479,              0.0017584,              0.0017584,              0.0017584
                     63,                 1.2433,                 1.1191,                 1.6784,                0.42314,                0.77895,                0.54152,                0.30156,                 1.6926,                 1.5833,                 1.9858,              0.0017545,              0.0017545,              0.0017545
                     64,                 1.2158,                 1.1155,                 1.6338,                0.44516,                0.75789,                 0.5376,                0.32224,                 1.7312,                 1.4945,                 2.0385,              0.0017505,              0.0017505,              0.0017505
                     65,                 1.1806,                 1.0567,                 1.6089,                0.56325,                0.53684,                0.57595,                0.35236,                 1.7863,                 1.5417,                 2.0953,              0.0017466,              0.0017466,              0.0017466
                     66,                 1.1779,                 1.1653,                 1.5998,                0.64723,                0.57895,                0.61161,                0.38088,                 1.7494,                 1.5216,                 2.0589,              0.0017426,              0.0017426,              0.0017426
                     67,                 1.1839,                 1.1284,                 1.5834,                0.51729,                0.65263,                0.53034,                0.33106,                  1.765,                 1.5757,                 2.0649,              0.0017386,              0.0017386,              0.0017386
                     68,                 1.1541,                 1.0822,                 1.5465,                0.40944,                0.81009,                0.48349,                0.28237,                 1.8304,                 1.7594,                 2.1675,              0.0017347,              0.0017347,              0.0017347
                     69,                 1.2753,                 1.1755,                  1.663,                0.41512,                0.78947,                0.60547,                 0.3388,                 1.8193,                 1.7228,                 2.2167,              0.0017307,              0.0017307,              0.0017307
                     70,                 1.1525,                 1.0497,                 1.5595,                0.60599,                0.62105,                0.68706,                 0.4059,                 1.7651,                  1.516,                 2.1026,              0.0017268,              0.0017268,              0.0017268
                     71,                 1.1482,                 1.0025,                 1.5671,                0.65117,                0.76842,                0.72853,                0.45922,                 1.7128,                 1.2894,                 2.0233,              0.0017228,              0.0017228,              0.0017228
                     72,                 1.1921,                 1.0263,                 1.6456,                0.67773,                0.75269,                0.72088,                0.46118,                 1.6779,                 1.3256,                 1.9527,              0.0017188,              0.0017188,              0.0017188
                     73,                 1.2284,                 1.0487,                 1.6069,                0.77561,                0.72632,                0.77184,                0.52152,                 1.6403,                 1.3227,                  1.945,              0.0017149,              0.0017149,              0.0017149
                     74,                 1.1011,                  1.156,                 1.5308,                0.78171,                0.71622,                0.77983,                0.52494,                 1.6447,                 1.3126,                  1.939,              0.0017109,              0.0017109,              0.0017109
                     75,                   1.15,                 1.0173,                 1.5333,                0.81249,                0.77541,                0.81354,                0.54313,                 1.6906,                 1.2441,                 2.0034,               0.001707,               0.001707,               0.001707
                     76,                 1.1193,                0.96493,                 1.4986,                0.77938,                0.74737,                0.77357,                0.52049,                 1.6667,                 1.3511,                 1.9813,               0.001703,               0.001703,               0.001703
                     77,                 1.1628,                 1.0796,                 1.5275,                0.74848,                0.68916,                 0.7352,                0.47403,                 1.6399,                 1.3826,                 1.9225,               0.001699,               0.001699,               0.001699
                     78,                 1.1794,                0.98141,                 1.5695,                0.69731,                0.68421,                0.68828,                0.43535,                 1.6718,                 1.3882,                 1.9741,              0.0016951,              0.0016951,              0.0016951
                     79,                 1.1539,                 1.0301,                 1.5422,                 0.6596,                0.64211,                  0.609,                0.36757,                 1.7127,                  1.444,                 2.0444,              0.0016911,              0.0016911,              0.0016911
                     80,                 1.0479,                 1.0052,                 1.4699,                0.52512,                0.63158,                0.52165,                0.31867,                 1.7073,                 1.5293,                 1.9942,              0.0016872,              0.0016872,              0.0016872
                     81,                 1.0934,                0.93735,                 1.4869,                0.55367,                0.58947,                0.52529,                0.30915,                 1.7347,                 1.6356,                 1.9481,              0.0016832,              0.0016832,              0.0016832
                     82,                 1.0181,                0.91541,                 1.4721,                0.62951,                0.54737,                 0.5488,                0.31802,                 1.7417,                 1.7384,                 1.9219,              0.0016792,              0.0016792,              0.0016792
                     83,                 1.0359,                0.92237,                 1.4455,                0.64068,                0.48421,                0.49596,                0.30034,                 1.8798,                 1.9542,                 2.0613,              0.0016753,              0.0016753,              0.0016753
                     84,                 1.0928,                0.91364,                 1.5132,                0.53931,                0.46316,                0.46968,                0.28555,                 1.8592,                 1.8555,                  2.023,              0.0016713,              0.0016713,              0.0016713
                     85,                 1.0086,                0.84266,                 1.4596,                0.68542,                0.68421,                 0.6429,                0.39481,                 1.7352,                 1.4037,                 1.9072,              0.0016674,              0.0016674,              0.0016674
                     86,                 1.1124,                0.93158,                 1.5356,                0.74766,                0.74737,                0.76987,                0.53693,                 1.6832,                  1.214,                 1.9221,              0.0016634,              0.0016634,              0.0016634
                     87,                 1.0267,                0.88185,                  1.439,                0.77133,                0.73684,                0.79667,                0.55024,                  1.655,                 1.1547,                 1.8969,              0.0016594,              0.0016594,              0.0016594
                     88,                 1.0763,                0.87415,                 1.5073,                0.56946,                0.69616,                0.63186,                0.41532,                  1.657,                 1.4056,                 1.8993,              0.0016555,              0.0016555,              0.0016555
                     89,                 1.1866,                0.91577,                 1.5945,                0.46813,                0.67368,                0.50772,                0.31097,                 1.6683,                 1.6362,                 1.9202,              0.0016515,              0.0016515,              0.0016515
                     90,                 1.0095,                0.82963,                 1.4408,                0.60421,                0.70526,                0.62925,                0.43367,                 1.6961,                 1.4271,                 1.9438,              0.0016476,              0.0016476,              0.0016476
                     91,                 1.0454,                0.89811,                  1.465,                0.79791,                0.68421,                0.76853,                0.52217,                 1.6822,                 1.3011,                 1.9499,              0.0016436,              0.0016436,              0.0016436
                     92,                0.91672,                 0.7772,                 1.3764,                0.80167,                0.72632,                0.78995,                0.52153,                 1.6935,                  1.213,                 1.9726,              0.0016396,              0.0016396,              0.0016396
                     93,                 1.0432,                0.82391,                 1.4698,                0.77883,                0.71579,                 0.7928,                0.50164,                 1.7052,                 1.2732,                 2.0066,              0.0016357,              0.0016357,              0.0016357
                     94,                 1.0935,                0.82579,                 1.4727,                0.75462,                0.68421,                0.75147,                0.47412,                 1.7582,                 1.3771,                 2.0432,              0.0016317,              0.0016317,              0.0016317
                     95,                  1.183,                0.95887,                 1.5568,                0.63325,                0.70526,                0.73439,                0.47438,                 1.7312,                 1.4091,                 1.9676,              0.0016278,              0.0016278,              0.0016278
                     96,                 1.0604,                 0.7855,                  1.468,                0.56774,                 0.6913,                0.64767,                0.38853,                 1.7464,                 1.5916,                 1.9659,              0.0016238,              0.0016238,              0.0016238
                     97,                 1.0775,                0.83459,                 1.5093,                0.79343,                0.71579,                0.77865,                0.53021,                  1.648,                 1.2155,                 1.9324,              0.0016198,              0.0016198,              0.0016198
                     98,                0.95902,                0.73971,                 1.3842,                0.78552,                0.73684,                0.77669,                0.53819,                 1.6503,                 1.1491,                 1.9659,              0.0016159,              0.0016159,              0.0016159
                     99,                0.99022,                 0.7044,                 1.4033,                0.75532,                0.74737,                0.77229,                0.54156,                  1.622,                 1.1315,                 1.9357,              0.0016119,              0.0016119,              0.0016119
                    100,                0.94786,                0.73961,                 1.4192,                0.85103,                0.71579,                0.79275,                0.53899,                  1.634,                 1.0876,                 1.9692,               0.001608,               0.001608,               0.001608
                    101,                 1.0178,                0.78207,                 1.4559,                0.81848,                0.73684,                 0.7723,                0.51554,                 1.6722,                 1.1522,                 1.9959,               0.001604,               0.001604,               0.001604
                    102,                0.98201,                 0.7425,                 1.4099,                0.76949,                0.73795,                0.76386,                0.53507,                  1.653,                 1.2084,                 1.9644,                 0.0016,                 0.0016,                 0.0016
                    103,                0.93024,                0.68348,                 1.3628,                0.80281,                0.73684,                0.76766,                0.53936,                 1.6657,                 1.1993,                 1.9888,              0.0015961,              0.0015961,              0.0015961
                    104,                  1.035,                0.73778,                 1.4464,                 0.7791,                0.75789,                0.76036,                0.48734,                 1.6489,                 1.3374,                 1.9511,              0.0015921,              0.0015921,              0.0015921
                    105,                0.91377,                0.66585,                 1.3913,                0.74766,                0.64211,                0.69037,                0.42748,                 1.7043,                 1.6494,                 2.0759,              0.0015882,              0.0015882,              0.0015882
                    106,                0.98074,                0.71186,                 1.4002,                 0.6843,                0.66316,                0.66134,                0.44103,                  1.735,                  1.556,                 2.1487,              0.0015842,              0.0015842,              0.0015842
                    107,                 0.9765,                0.61892,                 1.3976,                0.72995,                0.74737,                0.72717,                0.51817,                 1.7022,                 1.2644,                 2.1391,              0.0015802,              0.0015802,              0.0015802
                    108,                0.91311,                0.63909,                 1.3496,                0.77565,                0.76427,                0.76681,                0.53285,                 1.6794,                 1.0919,                 2.1233,              0.0015763,              0.0015763,              0.0015763
                    109,                0.91499,                0.64321,                 1.3377,                0.82927,                0.83158,                0.80125,                 0.5246,                  1.691,                 1.1064,                   2.19,              0.0015723,              0.0015723,              0.0015723
                    110,                0.90161,                 0.6312,                 1.3449,                0.84751,                0.81904,                0.80077,                0.52216,                 1.6982,                 1.1522,                 2.2048,              0.0015684,              0.0015684,              0.0015684
